E_nu,cs,mc_cs,used_points
5000,25.5,122.157,1876932.0
10000,44.6,210.264,1876767.0
20000,73.8,348.05,1876827.0
50000,133.0,634.713,1876770.0
100000,199.0,928.528,171340468.0
200000,287.0,666.329,171332117.0
500000,453.0,1029.997,171329976.0
1000000,628.0,1408.747,171331884.0
2000000,859.0,1875.203,171333950.0
5000000,1280.0,2711.768,171336653.0
10000000,1710.0,3502.517,171334047.0
20000000,2270.0,4474.428,171330111.0
50000000,3260.0,6240.103,171334092.0
100000000,4150.0,7511.685,171333244.0
200000000,5510.0,8889.536,171330131.0
500000000,7690.0,11752.673,171335757.0
